指标名称,伦敦现货黄金:以美元计价,期货结算价(活跃合约):COMEX黄金,期货收盘价(活跃合约):COMEX黄金,期货结算价(活跃合约):黄金,SPDR:黄金ETF:持有量(吨),COMEX:库存量:黄金,库存期货:黄金,黄金ETF波动率指数
1968-01-02,35.181,,,,,,,
1968-01-03,35.159,,,,,,,
1968-01-04,35.141,,,,,,,
1968-01-05,35.14,,,,,,,
1968-01-08,35.138,,,,,,,
1968-01-09,35.138,,,,,,,
1968-01-10,35.149,,,,,,,
1968-01-11,35.17,,,,,,,
1968-01-12,35.176,,,,,,,
1968-01-15,35.183,,,,,,,
1968-01-16,35.188,,,,,,,
1968-01-17,35.196,,,,,,,
1968-01-18,35.195,,,,,,,
1968-01-19,35.194,,,,,,,
1968-01-22,35.19,,,,,,,
1968-01-23,35.193,,,,,,,
1968-01-24,35.198,,,,,,,
1968-01-25,35.196,,,,,,,
1968-01-26,35.198,,,,,,,
1968-01-29,35.194,,,,,,,
1968-01-30,35.19,,,,,,,
1968-01-31,35.196,,,,,,,
1968-02-01,35.196,,,,,,,
1968-02-02,35.196,,,,,,,
1968-02-05,35.193,,,,,,,
1968-02-06,35.191,,,,,,,
1968-02-07,35.196,,,,,,,
1968-02-08,35.194,,,,,,,
1968-02-09,35.195,,,,,,,
1968-02-12,35.193,,,,,,,
1968-02-13,35.193,,,,,,,
1968-02-14,35.195,,,,,,,
1968-02-15,35.198,,,,,,,
1968-02-16,35.198,,,,,,,
1968-02-19,35.198,,,,,,,
1968-02-20,35.196,,,,,,,
1968-02-21,35.198,,,,,,,
1968-02-22,35.198,,,,,,,
1968-02-23,35.198,,,,,,,
1968-02-26,35.196,,,,,,,
1968-02-27,35.196,,,,,,,
1968-02-28,35.198,,,,,,,
1968-02-29,35.199,,,,,,,
1968-03-01,35.199,,,,,,,
1968-03-04,35.198,,,,,,,
1968-03-05,35.199,,,,,,,
1968-03-06,35.199,,,,,,,
1968-03-07,35.198,,,,,,,
1968-03-08,35.198,,,,,,,
1968-03-11,35.199,,,,,,,
1968-03-12,35.196,,,,,,,
1968-03-13,35.198,,,,,,,
1968-03-14,35.199,,,,,,,
1968-04-01,37.7,,,,,,,
1968-04-02,37.3,,,,,,,
1968-04-03,37.6,,,,,,,
1968-04-04,36.95,,,,,,,
1968-04-05,37.0,,,,,,,
1968-04-08,37.05,,,,,,,
1968-04-09,37.5,,,,,,,
1968-04-10,37.7,,,,,,,
1968-04-11,38.0,,,,,,,
1968-04-16,38.0,,,,,,,
1968-04-17,37.8,,,,,,,
1968-04-18,37.55,,,,,,,
1968-04-19,37.65,,,,,,,
1968-04-22,38.0,,,,,,,
1968-04-23,38.4,,,,,,,
1968-04-24,38.25,,,,,,,
1968-04-25,38.3,,,,,,,
1968-04-26,38.65,,,,,,,
1968-04-29,38.75,,,,,,,
1968-04-30,39.1,,,,,,,
1968-05-01,39.2,,,,,,,
1968-05-02,39.45,,,,,,,
1968-05-03,39.1,,,,,,,
1968-05-06,39.75,,,,,,,
1968-05-07,39.3,,,,,,,
1968-05-08,39.75,,,,,,,
1968-05-09,39.7,,,,,,,
1968-05-10,39.6,,,,,,,
1968-05-13,39.5,,,,,,,
1968-05-14,39.8,,,,,,,
1968-05-15,40.25,,,,,,,
1968-05-16,41.25,,,,,,,
1968-05-17,41.5,,,,,,,
1968-05-20,42.3,,,,,,,
1968-05-21,42.4,,,,,,,
1968-05-22,41.55,,,,,,,
1968-05-23,41.4,,,,,,,
1968-05-24,41.75,,,,,,,
1968-05-27,41.5,,,,,,,
1968-05-28,41.5,,,,,,,
1968-05-29,41.6,,,,,,,
1968-05-30,41.95,,,,,,,
1968-05-31,41.95,,,,,,,
1968-06-04,41.15,,,,,,,
1968-06-05,41.2,,,,,,,
1968-06-06,41.2,,,,,,,
1968-06-07,41.25,,,,,,,
1968-06-10,41.3,,,,,,,
1968-06-11,41.55,,,,,,,
1968-06-12,41.9,,,,,,,
1968-06-13,41.3,,,,,,,
1968-06-14,41.0,,,,,,,
1968-06-17,40.7,,,,,,,
1968-06-18,41.1,,,,,,,
1968-06-19,41.4,,,,,,,
1968-06-20,41.1,,,,,,,
1968-06-21,41.05,,,,,,,
1968-06-24,40.9,,,,,,,
1968-06-25,40.95,,,,,,,
1968-06-26,40.85,,,,,,,
1968-06-27,40.9,,,,,,,
1968-06-28,40.9,,,,,,,
1968-07-01,40.8,,,,,,,
1968-07-02,40.9,,,,,,,
1968-07-03,41.05,,,,,,,
1968-07-04,41.15,,,,,,,
1968-07-05,41.0,,,,,,,
1968-07-08,40.85,,,,,,,
1968-07-09,39.8,,,,,,,
1968-07-10,40.1,,,,,,,
1968-07-11,39.1,,,,,,,
1968-07-12,39.3,,,,,,,
1968-07-15,39.2,,,,,,,
1968-07-16,38.5,,,,,,,
1968-07-17,37.75,,,,,,,
1968-07-18,38.0,,,,,,,
1968-07-19,38.7,,,,,,,
1968-07-22,38.6,,,,,,,
1968-07-23,39.0,,,,,,,
1968-07-24,39.2,,,,,,,
1968-07-25,38.9,,,,,,,
1968-07-26,38.9,,,,,,,
1968-07-29,39.1,,,,,,,
1968-07-30,39.0,,,,,,,
1968-07-31,38.85,,,,,,,
1968-08-01,38.9,,,,,,,
1968-08-02,38.85,,,,,,,
1968-08-05,38.95,,,,,,,
1968-08-06,38.7,,,,,,,
1968-08-07,38.7,,,,,,,
1968-08-08,38.45,,,,,,,
1968-08-09,38.55,,,,,,,
1968-08-12,38.6,,,,,,,
1968-08-13,38.9,,,,,,,
1968-08-14,38.95,,,,,,,
1968-08-15,39.15,,,,,,,
1968-08-16,39.15,,,,,,,
1968-08-19,39.15,,,,,,,
1968-08-20,39.55,,,,,,,
1968-08-21,40.0,,,,,,,
1968-08-22,39.75,,,,,,,
1968-08-23,39.5,,,,,,,
